date;x;y
2013/01/01;812,4344486;0,000343027
2013/03/01;750,6768002;0,001157716
2013/04/01;571,9863695;0,001176522
2013/05/01;532,9570261;0,001804653
2013/06/01;918,6240703;0,005520025
2013/08/01;910,0233319;0,007409683
2013/09/01;1022,422873;0,002424508
2013/10/01;738,3190606;0,000865842
2013/11/01;760,6437208;0,003959855
2013/12/01;639,0224494;0,000486707
2014/01/01;619,181757;0,001018549
2014/03/01;715,2802596;0,001961121
2014/04/01;550,3137508;0,001457112
2014/05/01;726,0544698;0,00279236
2014/06/01;925,423932;0,003327963
2014/07/01;812,0618534;0,003515274
2014/08/01;743,1006985;0,002700585
2014/09/01;683,2060259;0,000819955
2014/10/01;644,7976745;0,000288113
2014/11/01;661,5955064;0,000904207
2014/12/01;818,9859135;0,00044082
2015/01/01;680,0079174;0,000808671
2015/02/01;746,5161542;0,000546135
2015/03/01;553,9465537;0,000367851
2015/04/01;581,8290918;0,000269306
2015/05/01;609,6805803;0,00139618
2015/06/01;699,3518164;0,003387391
2015/07/01;878,8495365;0,003971139
2015/08/01;629,8938679;0,002141662
2015/12/01;658,5526459;0,000488212
2016/01/01;685,2552993;0,000370108
2016/02/01;637,2215728;0,000730437
2016/03/01;722,6390141;0,001241968
2016/04/01;630,3906615;0,001363833
2016/05/01;471,6651217;0,000694329
2016/06/01;789,4266972;0,004287837
2016/07/01;749,9626595;0,002542612
2016/08/01;608,1901996;0,001520301
2016/09/01;788,9299037;0,00193404
2016/10/01;666,6876403;0,000394932
2016/11/01;751,9187841;0,000330239
2016/12/01;672,8044109;0,000797387
2017/01/01;733,3511251;0,000613838
2017/02/01;702,4257265;0,000236207
2017/03/01;605,5820335;0,000448342
2017/04/01;557,8277533;0,000501752
2017/05/01;418,6945092;0,000352806
2017/06/01;887,3260765;0,003467882
2017/07/01;771,6663277;0,001500743
2017/08/01;819,9795007;0,001926517
2017/09/01;775,3612298;0,001285599
2017/10/01;873,4779563;0,001180283
2017/11/01;738,288011;0,00209427
2017/12/01;733,3200755;0,00038741
2018/01/01;678,6106856;0,00035732
2018/02/01;630,6080086;0,000510027
2018/03/01;658,4284475;0,000829734
2018/04/01;564,0687223;0,002059666
2018/05/01;647,1263942;0,002265783
2018/06/01;822,4013692;0,003244463
2018/07/01;587,3248705;0,001571455
2018/08/01;837,056779;0,002310166
2018/09/01;845,8127653;0,002092013
2018/10/01;606,8240174;0,000369356
2018/11/01;684,975853;0,000428784
2018/12/01;682,3366372;0,001193824
2019/01/01;778,2798919;0,000560428
2019/02/01;478,5270826;0,000339266
